iter	Passed	Remaining
399	63507	66682
400	63661	66519
401	63822	66362
402	63990	66212
403	64101	66005
404	64245	65831
405	64428	65698
406	64564	65516
407	64684	65318
408	64833	65150
409	64972	64972
410	65109	64792
411	65254	64621
412	65394	64444
413	65531	64265
414	65664	64081
415	65743	63847
416	65905	63693
417	66049	63521
418	66165	63323
419	66303	63145
420	66446	62974
421	66600	62812
422	66746	62644
423	66853	62438
424	66989	62261
425	67079	62040
426	67240	61886
427	67320	61657
428	67460	61485
429	67630	61339
430	67764	61160
431	67917	60999
432	68116	60879
433	68289	60736
434	68436	60570
435	68600	60418
436	68724	60232
437	68825	60025
438	68951	59841
439	69119	59693
440	69273	59534
441	69434	59380
442	69536	59176
443	69688	59015
444	69830	58846
445	69982	58685
446	70129	58520
447	70272	58351
448	70405	58174
449	70513	57977
450	70653	57807
451	70759	57609
452	70905	57444
453	71064	57289
454	71223	57134
455	71277	56896
456	71376	56695
457	71534	56539
458	71713	56401
459	71892	56263
460	72092	56141
461	72253	55988
462	72405	55828
463	72552	55664
464	72643	55459
465	72779	55287
466	72932	55128
467	73032	54930
468	73147	54743
469	73285	54574
470	73410	54395
471	73469	54168
472	73573	53974
473	73656	53766
474	73828	53622
475	74001	53479
476	74074	53265
477	74213	53098
478	74358	52935
479	74511	52779
480	74665	52622
481	74821	52467
482	74975	52312
483	75140	52163
484	75252	51978
485	75307	51754
486	75405	51560
487	75551	51399
488	75697	51239
489	75855	51086
490	75994	50921
491	76138	50759
492	76273	50591
493	76416	50428
494	76565	50270
495	76730	50122
496	76821	49926
497	76917	49733
498	77057	49569
499	77201	49408
500	77282	49207
501	77434	49051
502	77577	48890
503	77632	48674
504	77779	48516
505	77937	48364
506	78087	48208
507	78240	48053
508	78388	47895
509	78515	47724
510	78651	47560
511	78810	47409
512	78962	47254
513	79104	47093
514	79233	46924
515	79367	46759
516	79498	46591
517	79641	46431
518	79780	46269
519	79923	46109
520	80073	45953
521	80216	45793
522	80374	45642
523	80450	45445
524	80571	45273
525	80737	45127
526	80892	44974
527	81042	44819
528	81134	44631
529	81297	44483
530	81400	44302
531	81543	44143
532	81695	43989
533	81846	43835
534	81996	43680
535	82133	43518
536	82272	43357
537	82420	43201
538	82487	43003
539	82627	42843
540	82766	42683
541	82918	42530
542	83042	42362
543	83205	42214
544	83379	42072
545	83556	41931
546	83717	41782
547	83854	41621
548	84005	41466
549	84140	41305
550	84277	41144
551	84488	41019
552	84661	40876
553	84759	40696
554	84855	40516
555	85042	40380
556	85168	40214
557	85291	40047
558	85451	39897
559	85599	39742
560	85670	39552
561	85805	39391
562	85960	39239
563	86108	39084
564	86264	38933
565	86423	38783
566	86541	38615
567	86675	38454
568	86777	38279
569	86925	38125
570	87094	37979
571	87230	37820
572	87388	37670
573	87557	37524
574	87711	37372
575	87870	37222
576	88019	37068
577	88175	36917
578	88280	36745
579	88456	36602
580	88606	36449
581	88750	36293
582	88851	36119
583	89023	35975
584	89186	35827
585	89350	35679
586	89466	35512
587	89564	35338
588	89710	35183
589	89829	35018
590	89939	34849
591	90092	34697
592	90243	34545
593	90360	34379
594	90509	34226
595	90663	34074
596	90818	33923
597	90972	33772
598	91117	33617
599	91159	33425
600	91310	33272
601	91429	33108
602	91564	32950
603	91689	32789
604	91828	32633
605	91963	32475
606	92098	32317
607	92226	32157
608	92335	31991
609	92485	31839
610	92541	31655
611	92620	31478
612	92751	31320
613	92883	31162
614	92983	30994
615	93129	30841
616	93214	30668
617	93360	30515
618	93534	30372
619	93701	30226
620	93808	30060
621	93869	29881
622	93977	29716
623	94134	29567
624	94291	29418
625	94443	29268
626	94599	29119
627	94744	28966
628	94899	28816
629	95065	28670
630	95149	28499
631	95240	28330
632	95376	28175
633	95521	28023
634	95592	27849
635	95734	27696
636	95848	27535
637	95987	27381
638	96136	27231
639	96236	27066
640	96360	26908
641	96488	26752
642	96635	26601
643	96789	26451
644	96856	26278
645	97004	26128
646	97130	25971
647	97240	25810
648	97388	25660
649	97536	25509
650	97706	25364
651	97829	25207
652	97995	25061
653	98151	24913
654	98303	24763
655	98457	24614
656	98559	24452
657	98683	24295
658	98843	24148
659	99009	24002
660	99170	23854
661	99340	23709
662	99503	23562
663	99672	23416
664	99847	23272
665	99953	23112
666	100114	22964
667	100308	22824
668	100478	22678
669	100617	22526
670	100782	22379
671	100871	22215
672	101041	22070
673	101219	21925
674	101401	21782
675	101543	21630
676	101720	21485
677	101884	21338
678	102051	21191
679	102211	21043
680	102324	20885
681	102436	20727
682	102613	20582
683	102731	20426
684	102818	20263
685	102975	20114
686	103137	19966
687	103299	19819
688	103453	19669
689	103589	19516
690	103749	19368
691	103853	19209
692	104020	19062
693	104087	18897
694	104221	18744
695	104273	18577
696	104429	18428
697	104589	18280
698	104700	18124
699	104850	17974
700	104955	17817
701	105067	17660
702	105175	17504
703	105334	17356
704	105487	17207
705	105648	17059
706	105805	16910
707	105923	16756
708	106035	16600
709	106177	16450
710	106321	16299
711	106475	16150
712	106625	16001
713	106783	15853
714	106898	15698
715	107053	15549
716	107149	15392
717	107307	15244
718	107402	15087
719	107556	14938
720	107708	14789
721	107862	14640
722	107940	14481
723	108110	14335
724	108257	14185
725	108415	14037
726	108586	13890
727	108718	13739
728	108833	13585
729	108995	13437
730	109142	13288
731	109276	13137
732	109335	12977
733	109485	12827
734	109642	12679
735	109790	12530
736	109939	12381
737	110093	12232
738	110200	12078
739	110349	11929
