iter	Logloss
202	0.3302716764
203	0.3298652396
204	0.3295899062
205	0.3293214257
206	0.3290727672
207	0.3287390941
208	0.3285034731
209	0.3281596104
210	0.3278886196
211	0.3276364493
212	0.3272553711
213	0.3270758848
214	0.3268474955
215	0.3265403579
216	0.3262801789
217	0.3259739091
218	0.3257385442
219	0.3254612277
220	0.3252085224
221	0.3249867116
222	0.3247150078
223	0.3243844373
224	0.3242079287
225	0.3239497326
226	0.323609602
227	0.3233021941
228	0.3230438666
229	0.3228160802
230	0.3225368069
231	0.3221868282
232	0.3219143715
233	0.3215848871
234	0.3212528317
235	0.3209690845
236	0.3207014747
237	0.3203894796
238	0.3200839514
239	0.3197640438
240	0.3195751104
241	0.3192551797
242	0.3189525306
243	0.3186637121
244	0.3183317851
245	0.3180283842
246	0.317762356
247	0.3174725136
248	0.3171640126
249	0.3168984184
250	0.3165882943
251	0.3163119558
252	0.3159940878
253	0.3157448069
254	0.3154328895
255	0.3150499456
256	0.3147541616
257	0.3144218339
258	0.3141377442
259	0.3138583559
260	0.3136302356
261	0.3132959842
262	0.3129581245
263	0.3126396685
264	0.3123450263
265	0.3121515105
266	0.3118852589
267	0.3116837898
268	0.3114076385
269	0.3112786497
270	0.3109677058
271	0.3108071953
272	0.3103880446
273	0.3101369577
274	0.3099184144
275	0.3095849249
276	0.3092537252
277	0.3089791717
278	0.3086905611
279	0.308342754
280	0.3080859118
281	0.3077709468
282	0.3074409656
283	0.3071460118
284	0.3068159171
285	0.3065116312
286	0.3063396963
287	0.3061012099
288	0.3057865911
289	0.3054399237
290	0.3050528097
291	0.304774778
292	0.3043902025
293	0.3041011275
294	0.3037044868
295	0.3034079289
296	0.3031824901
297	0.3028752422
298	0.302569732
299	0.3022263308
300	0.3020457573
301	0.3017470278
302	0.3015741929
303	0.3011643428
304	0.3009525051
305	0.3007925693
306	0.3005084794
307	0.3001563003
308	0.2996962695
309	0.2993698384
310	0.2989889384
311	0.2986052845
312	0.2983161074
313	0.2980184766
314	0.2977363858
315	0.2974820928
316	0.2971075539
317	0.2967533696
318	0.2966542584
319	0.2963603403
320	0.2960281146
321	0.295668374
322	0.295363032
323	0.2950307466
324	0.2946801591
325	0.2943333891
326	0.2940851492
327	0.2938449822
328	0.2936274094
329	0.2933683797
330	0.293057694
331	0.2926725152
332	0.2922804983
333	0.2919216941
334	0.2916763692
335	0.291308187
336	0.2908566786
337	0.2904258422
338	0.290020471
339	0.2899253829
340	0.2895558587
341	0.2892954894
342	0.2890946538
343	0.2887901822
344	0.2884921773
345	0.2881509644
346	0.2879954849
347	0.2876055143
348	0.2872980089
349	0.2869910222
350	0.2868480449
351	0.2866513129
352	0.2863508227
353	0.2859374769
354	0.2857074687
355	0.2855079874
356	0.2850531816
357	0.2847654
358	0.2843343282
359	0.2840966251
360	0.2839456292
361	0.283789133
362	0.2834044133
363	0.2830325902
364	0.2826965687
365	0.282316155
366	0.28191008
367	0.2813821336
368	0.2810015294
369	0.2809046861
370	0.280505594
371	0.2803739416
372	0.2799604007
373	0.2795900255
374	0.279237596
375	0.2788400309
376	0.2784830198
377	0.2782145309
378	0.2779602107
379	0.277514872
380	0.2771051131
381	0.2767681445
382	0.2765560042
383	0.27632839
384	0.2762294511
385	0.2757446417
386	0.2755641586
387	0.2751628741
388	0.2750071247
389	0.2744836061
390	0.2742352163
391	0.2740956317
392	0.2739131811
393	0.2735614047
394	0.2732070634
395	0.2727395781
396	0.2726046158
397	0.2721734493
398	0.2717944331
399	0.2716102037
400	0.2711900417
401	0.2707881622
402	0.2703738612
403	0.2701341564
404	0.2696870273
405	0.2694209822
406	0.2690908155
407	0.2688405793
408	0.2684649897
409	0.2681193104
410	0.2677570971
411	0.2673444803
412	0.2670506967
413	0.2665819559
414	0.2662648791
415	0.2661146508
416	0.2657807868
417	0.2654031208
418	0.2651579545
419	0.26478216
420	0.2644211795
421	0.2640698064
422	0.2637409595
423	0.2635172071
424	0.2631639473
425	0.2629124115
426	0.2625724152
427	0.2624875665
428	0.2620636659
429	0.2616432994
430	0.2612839327
431	0.261032981
432	0.2606888465
433	0.2603847365
434	0.2600537938
435	0.2596921949
436	0.259464016
437	0.2593271118
438	0.2590807047
439	0.2587574589
440	0.2584404827
441	0.2581274658
442	0.2579962822
443	0.2575261961
444	0.2571636721
445	0.2568310094
446	0.2564575557
447	0.2561727532
448	0.255886997
449	0.2556108977
450	0.2552371844
451	0.2550362675
452	0.2546904726
453	0.2543239799
454	0.2539242827
455	0.253886047
456	0.2537272773
457	0.2533965059
458	0.2529885986
459	0.2526234855
460	0.2521982368
461	0.2518167663
462	0.2514819333
463	0.2511482142
464	0.251009804
465	0.2507418768
466	0.2503859039
467	0.2502210126
468	0.2499493948
469	0.2495286295
470	0.2493133457
471	0.2492484235
472	0.2491586645
473	0.2490858775
474	0.2487930257
475	0.2485105281
476	0.2484165419
477	0.2481215744
478	0.247758135
479	0.2474687303
480	0.2471421791
481	0.2467646724
482	0.2464850199
483	0.2461751225
484	0.246015622
485	0.2459502354
486	0.2457605541
487	0.2454315222
488	0.245072319
489	0.2447584749
490	0.2444454623
491	0.2441556162
492	0.243844954
493	0.2435970953
494	0.2432462027
495	0.2428332842
496	0.2426722507
497	0.2424481424
498	0.2421657338
499	0.241912997
500	0.2418023604
501	0.2414615195
502	0.2411995182
503	0.2411248157
504	0.2407113461
505	0.240396006
506	0.2400854154
507	0.2398232141
508	0.2395355124
509	0.2392769027
510	0.2389760433
511	0.2387635155
512	0.2384234101
513	0.2382135947
514	0.2379877835
515	0.2376761151
516	0.2374496969
517	0.2372163739
518	0.2369396756
519	0.2366685714
520	0.236383381
521	0.2361494304
522	0.2358144787
523	0.2357150924
524	0.2356114902
525	0.2353115997
526	0.2350594646
527	0.2348835746
528	0.2347781892
529	0.2345168852
530	0.2343874468
531	0.2341525017
532	0.233917862
533	0.233645164
534	0.2333675098
535	0.2329848652
536	0.232682911
537	0.2324707078
538	0.2323958748
539	0.2321229752
540	0.2319132594
541	0.2316479053
542	0.2313862167
543	0.2311360283
544	0.2308016824
545	0.2305089391
546	0.2303441023
547	0.2300690273
548	0.2298036243
549	0.2295452176
550	0.2293251736
551	0.2289611666
552	0.2287327353
553	0.2286154445
554	0.2285298537
555	0.2282014112
556	0.2280158811
557	0.2277883999
558	0.2275006789
559	0.2272458659
560	0.2271310662
561	0.2269659852
562	0.2266990021
563	0.2264075973
564	0.2260952807
565	0.2258732682
566	0.2257068267
567	0.2253843943
568	0.2252676322
569	0.2250014453
570	0.2247471373
571	0.2245366894
572	0.2242628614
573	0.2239973767
574	0.2237302368
575	0.2234885486
576	0.2232793583
577	0.2230267393
578	0.2228704689
579	0.2226474502
580	0.2223390427
581	0.2221429727
582	0.2219855936
583	0.2217449165
584	0.2215653043
585	0.2212543055
586	0.2210264671
587	0.2209113383
588	0.2206822981
589	0.2205429603
590	0.2203642011
591	0.2201190504
592	0.2199684135
593	0.2198109337
594	0.219542445
595	0.2193051678
596	0.2190475933
597	0.2186606052
598	0.2183386663
599	0.2183102761
600	0.218021836
601	0.2178270566
602	0.2176691257
603	0.217408404
604	0.2171185411
605	0.2168467474
606	0.2166489043
607	0.2164479957
608	0.2162674113
609	0.2160435699
610	0.2159893421
611	0.2158826941
612	0.2156629248
613	0.2154077381
614	0.2152987213
615	0.2150924036
616	0.2149976064
617	0.2147982088
618	0.214496845
619	0.2142241639
620	0.2140602496
621	0.2139862931
622	0.2138389645
623	0.2136087965
624	0.2134259595
625	0.2131247101
626	0.2128358653
627	0.2124945708
628	0.212266188
629	0.2120199988
630	0.2119214143
631	0.2118305213
632	0.2116341946
633	0.211408299
634	0.2112846755
635	0.2111878845
636	0.2110614695
637	0.2108190458
638	0.2105960798
639	0.2104793293
640	0.2102495066
641	0.2100530849
642	0.2098366611
643	0.2096187212
644	0.2095658323
645	0.2093402521
646	0.2091341472
647	0.2089989494
648	0.2087817653
649	0.2086264257
650	0.2083577121
651	0.2081627247
652	0.2079192929
653	0.2076978439
654	0.2074943614
655	0.20725411
656	0.2071491339
657	0.2070092135
658	0.2067698977
659	0.2065876551
660	0.2063971221
661	0.2061442712
662	0.205906061
663	0.2057410798
664	0.205529267
665	0.2054348833
666	0.2052229866
667	0.2050013735
668	0.204756702
669	0.2045996781
670	0.2043451401
671	0.2042552611
672	0.2040830538
673	0.2038692989
674	0.20375587
675	0.2035501548
676	0.2033143002
677	0.2030601233
678	0.2029015631
679	0.2027017872
680	0.2026084959
681	0.202473503
682	0.2022304347
683	0.2020460581
684	0.2019479327
685	0.2017114205
686	0.201420741
687	0.2012419784
688	0.200952918
689	0.2007735917
690	0.2005691107
691	0.2004772374
692	0.2001845885
693	0.2001316329
694	0.1999626976
695	0.1999468189
696	0.1996540318
697	0.1994729626
698	0.1993767994
699	0.199113126
700	0.1989699278
701	0.1988351436
702	0.1986962457
703	0.1984674898
704	0.1982346177
705	0.1980191565
706	0.1977813187
707	0.1976509802
708	0.1975303024
709	0.1973336447
710	0.1971285349
711	0.1969535494
712	0.1967931346
713	0.1965765384
714	0.1964848332
715	0.1962518024
716	0.1961253873
717	0.1959062934
718	0.1957826076
719	0.195623705
720	0.1954306703
721	0.1952385064
722	0.1951937809
723	0.1949872695
724	0.1948151192
725	0.1946211177
726	0.1943637541
727	0.194155674
728	0.1939863097
729	0.1937552381
730	0.1935839425
731	0.1934243365
732	0.1933869763
733	0.1931983317
734	0.1929981043
735	0.1928435831
736	0.1926324008
737	0.1924332603
738	0.1922878054
739	0.1921039033
740	0.1920506995
741	0.1918026495
742	0.1915607718
743	0.191431702
744	0.191355568
745	0.1913208974
746	0.1911959216
747	0.1910374144
748	0.1908202829
749	0.1906297567
750	0.190497451
751	0.1903577787
752	0.1901976798
753	0.1900321005
754	0.189836188
755	0.1896615556
756	0.1894766862
757	0.1892809159
758	0.1892440254
759	0.1890563756
760	0.1888853133
761	0.1887600851
762	0.1885804897
763	0.1884034687
764	0.188261416
765	0.1880631462
766	0.1878567788
767	0.1876716637
768	0.1874463582
769	0.1871421729
770	0.186942378
771	0.186650905
772	0.1864533306
773	0.1863204531
774	0.1861493651
775	0.186068829
776	0.1858600531
777	0.1856890107
778	0.1854951251
779	0.1852955566
780	0.1851264464
781	0.1849667233
782	0.1848839369
783	0.1847340843
784	0.1846504552
785	0.1846088438
786	0.1845077872
787	0.1843067774
788	0.1841857889
789	0.183976716
790	0.1837813134
791	0.1836008092
792	0.1833480187
793	0.1831729429
794	0.1830645087
795	0.1828274215
796	0.1826239549
797	0.1824217935
798	0.1823965361
799	0.1823410137
800	0.1821464637
801	0.1819453828
802	0.1817649865
803	0.1815912032
804	0.1814897829
805	0.1813192474
806	0.1811749654
807	0.1811132305
808	0.1808834233
809	0.180708368
810	0.1805431655
811	0.180443035
812	0.1802706452
813	0.1800929478
814	0.1798937952
815	0.1797693559
816	0.1795650125
817	0.179411696
818	0.1792478959
819	0.1790651557
