iter	Logloss
0	0.6806164383
1	0.6667025012
2	0.6529254219
3	0.6406687147
4	0.6280737169
5	0.6166024094
6	0.604591564
7	0.595309295
8	0.5865851554
9	0.5764968966
10	0.5674496294
11	0.5582428494
12	0.5504956965
13	0.5426613637
14	0.5340548796
15	0.5270513998
16	0.5205231506
17	0.514961187
18	0.5098348995
19	0.5059978128
20	0.5020540208
21	0.4979510415
22	0.4946984182
23	0.4895436692
24	0.4860785588
25	0.4825099448
26	0.4792424126
27	0.4767494196
28	0.4730483123
29	0.4692642239
30	0.4661566291
31	0.4635629681
32	0.4614192873
33	0.4586702312
34	0.4559810704
35	0.4528172533
36	0.4505373125
37	0.4479386134
38	0.4457821094
39	0.4431843155
40	0.4405175886
41	0.4378526811
42	0.4365051975
43	0.4346344277
44	0.4328491466
45	0.4310963517
46	0.429020916
47	0.4275072417
48	0.4253001008
49	0.4241074039
50	0.422278818
51	0.420902702
52	0.4191543477
53	0.4178282498
54	0.4161747556
55	0.4143388992
56	0.4133963666
57	0.411758588
58	0.4104312313
59	0.4091888982
60	0.4081208496
61	0.4070768352
62	0.405932955
63	0.4046274947
64	0.403530257
65	0.4024324497
66	0.4011365176
67	0.3998122296
68	0.3988545439
69	0.3977180194
70	0.3967727964
71	0.3955499584
72	0.3943205335
73	0.3933867734
74	0.3923903075
75	0.3913398659
76	0.3903009561
77	0.3894080235
78	0.3885032974
79	0.3877145205
80	0.3871122689
81	0.3861229693
82	0.3852753478
83	0.3844611119
84	0.3836790641
85	0.3829314247
86	0.3823949477
87	0.3817328905
88	0.3809527312
89	0.3801245491
90	0.3794210963
91	0.3786884011
92	0.3779750837
93	0.3773313847
94	0.3765295503
95	0.3759481304
96	0.3753753691
97	0.3747794843
98	0.3742206338
99	0.3734892162
100	0.3728350841
101	0.3722445799
102	0.3714480422
103	0.3707801269
104	0.3702494639
105	0.3696795636
106	0.369086477
107	0.3686648831
108	0.3680256021
109	0.3675364521
110	0.3670708876
111	0.3664417086
112	0.3658825238
113	0.3653566702
114	0.3648985706
115	0.3643817469
116	0.3638917254
117	0.3633153864
118	0.3626510625
119	0.3624385593
120	0.3619686879
121	0.3616988845
122	0.3611472016
123	0.360686586
124	0.3600028155
125	0.3594903267
126	0.3591171393
127	0.3585900448
128	0.3582487575
129	0.3578778021
130	0.3575392597
131	0.3570093089
132	0.3565129849
133	0.3559810769
134	0.3554278126
135	0.3549542395
136	0.3544842141
137	0.3540615731
138	0.3535252528
139	0.3530858179
140	0.3526909589
141	0.3522742038
142	0.3518905394
143	0.3513439721
144	0.3509053357
145	0.3506387
146	0.3502209895
147	0.3498539603
148	0.3493876161
149	0.3490351894
150	0.3486679114
151	0.3483519984
152	0.3478016152
153	0.3474681723
154	0.3471815503
155	0.3468404107
156	0.3463130757
157	0.3458580436
158	0.3455403988
159	0.3452013981
160	0.3447416984
161	0.3444524238
162	0.344141185
163	0.3437884312
164	0.3433891816
165	0.3430790119
166	0.3426461049
167	0.3422112168
168	0.3419235205
169	0.3414500782
170	0.3409448075
171	0.3405284868
172	0.3401471077
173	0.3396355585
174	0.339234187
175	0.3388614694
176	0.3384591737
177	0.3380977491
178	0.3378239903
179	0.3373924423
180	0.3371100732
181	0.3367989742
182	0.3364711617
183	0.3362562784
184	0.3359022507
185	0.3354785076
186	0.3351132518
187	0.3347890069
188	0.3345313858
189	0.3341451096
190	0.3337146301
191	0.3332998715
192	0.3330238127
193	0.3328196083
194	0.3325747191
195	0.3323081391
196	0.3321081973
197	0.3317228639
198	0.3314779898
199	0.3312082072
200	0.3309344612
201	0.3306334628
